number,university,campus,region,extend
132,부산대학교,제4캠퍼스(양산),gyeongsang,279898
133,호원대학교,본교(임피),jeolla,279512
134,초당대학교,본교(전남무안),jeolla,276773
135,대원대학교,본교(제천),chungcheong,276399
136,한림대학교,본교(춘천),gangwon,267695
137,중부대학교,고양캠퍼스,gyeonggi,266964
138,한국영상대학교,본교,chungcheong,266313
139,마산대학교,본교(마산),gyeongsang,265537
140,한국교통대학교,제2캠퍼스(증평),chungcheong,260487
141,호남대학교,본교(광산),gwangju,253941
142,상명대학교,캠퍼스(천안),chungcheong,253621
143,광주대학교,본교(광주진월),gwangju,251941
144,대전과학기술대학교,본교(대전),daejeon,247646
145,백석문화대학교,본교(천안),chungcheong,244703
146,고신대학교,본교(영도),busan,244114
147,경일대학교,본교(경산),gyeongsang,241670
148,서울예술대학교,본교(안산),gyeonggi,239071
149,경북전문대학교,본교,gyeongsang,237717
150,가톨릭대학교,성심캠퍼스,gyeonggi,235048
151,서울여자대학교,본교(서울),seoul,225020
152,수원과학대학교,본교,gyeonggi,222458
153,전남도립대학교,본교(담양),jeolla,220143
154,서울신학대학교,본교(부천),gyeonggi,220122
155,경인교육대학교,제2캠퍼스(경기),gyeonggi,220121
156,거제대학교,본교,gyeongsang,219088
157,극동대학교,본교(음성),chungcheong,217914
158,경복대학교,본교(남양주),gyeonggi,217175
159,김포대학교,본교(김포),gyeonggi,217056
160,배재대학교,본교(대전),daejeon,212268
161,부산외국어대학교,본교(남산동),busan,211606
162,송호대학교,본교,gangwon,210903
163,동아보건대학교,본교(전남영암),jeolla,209624
164,서강대학교,본교(서울),seoul,209509
165,동원대학교,본교,gyeonggi,207865
166,건양대학교,본교(논산),chungcheong,206211
167,장안대학교,본교,gyeonggi,205489
168,대덕대학교,본교,daejeon,205131
169,안양대학교,제2캠퍼스(강화),incheon,200350
170,강남대학교,본교(경기),gyeonggi,198178
171,영산대학교,본교(양산),gyeongsang,196209
172,수성대학교,본교(대구),daegu,195391
173,국민대학교,본교(서울),seoul,191736
174,순천제일대학교,본교(전남순천),jeolla,191050
175,춘천교육대학교,본교(춘천),gangwon,190462
176,계명문화대학교,본교(성서),daegu,188550
177,영남외국어대학,본교(경산),gyeongsang,187804
178,경인교육대학교,본교(인천),incheon,186400
179,강원관광대학교,본교,gangwon,184661
180,한국침례신학대학교,본교(대전),daejeon,184503
181,성결대학교,본교(경기안양),gyeonggi,182430
182,청강문화산업대학교,본교,gyeonggi,181996
183,호서대학교,제2캠퍼스(천안),chungcheong,181543
184,오산대학교,본교,gyeonggi,181058
185,유원대학교,아산캠퍼스,chungcheong,179815
186,한국산업기술대학교,본교(경기시흥),gyeonggi,178465
187,충청대학교,본교,chungcheong,175672
188,상명대학교,본교(서울),seoul,174763
189,중앙승가대학교,본교(경기김포),gyeonggi,174260
190,동국대학교,일산캠퍼스,gyeonggi,172254
191,공주대학교,제4캠퍼스(천안),chungcheong,171034
192,군장대학교,본교,jeolla,170796
193,덕성여자대학교,쌍문캠퍼스,seoul,170742
194,동국대학교,본교(서울),seoul,169649
195,목포대학교,제2캠퍼스(목포),jeolla,168376
196,건양대학교,제2캠퍼스(대전),daejeon,168121
197,창원문성대학교,본교(두대),gyeongsang,167909
